





                                           California Real Estate Transactions-05/13/2017

Address                     City            Zip   ST Bd    Bt SqFt PropType SDy SMo DY HR MN SC SlYr SalePr      Pr/SqFt EstVal

5708 RIDGEPOINT DR          ANTELOPE        95843 CA two   2  1043 Resident Wed May 21 01 00 00 2008 $180,600.00 $173.15 $204,078.00
7863 CRESTLEIGH CT          ANTELOPE        95843 CA two   2  1007 Resident Tue May 20 01 00 00 2008 $201,600.00 $200.19 $227,808.00
                                                                                        Total for 2 Bedroom(s)   : $      382,200.00

4844 CLYDEBANK WAY          ANTELOPE        95843 CA three 2  1215 Resident Wed May 21 00 00 00 2008 $204,641.92 $168.42 $231,245.36
3828 BLACKFOOT WAY          ANTELOPE        95843 CA three 2  1088 Resident Wed May 21 08 00 00 2008 $141,836.80 $130.36 $160,275.58
3228 BAGGAN CT              ANTELOPE        95843 CA three 2  1392 Resident Tue May 20 00 00 00 2008 $184,800.00 $132.75 $208,824.00
4437 MITCHUM CT             ANTELOPE        95843 CA three 2  1393 Resident Tue May 20 00 00 00 2008 $224,000.00 $160.80 $253,120.00
7895 CABER WAY              ANTELOPE        95843 CA three 2  1362 Resident Wed May 21 00 00 00 2008 $218,196.16 $160.20 $246,561.66
                                                                                        Total for 3 Bedroom(s)   : $      973,474.88

7837 ABBINGTON WAY          ANTELOPE        95843 CA four  2  1830 Resident Wed May 21 00 00 00 2008 $434,258.72 $237.29 $490,712.35
                                                                                        Total for 4 Bedroom(s)   : $      434,258.72
                                                                                                  ANTELOPE       : $    1,789,933.60

2778 KAWEAH CT              CAMERON PARK    95682 CA zero  0     0 Resident Tue May 20 00 00 00 2008 $231,150.00 $  0.00 $261,199.50
                                                                                        Total for 0 Bedroom(s)   : $      231,150.00
                                                                                                  CAMERON PARK   : $      231,150.00

4010 ALEX LN                CARMICHAEL      95608 CA two   2  1326 Condo    Wed May 21 00 00 00 2008 $272,646.06 $205.61 $308,090.04
                                                                                        Total for 2 Bedroom(s)   : $      272,646.06

5332 SANDSTONE ST           CARMICHAEL      95608 CA three 1  1152 Resident Wed May 21 00 00 00 2008 $198,240.48 $172.08 $224,011.74
5907 ELLERSLEE DR           CARMICHAEL      95608 CA three 1   936 Resident Wed May 21 05 00 00 2008 $218,000.00 $232.90 $246,340.00
                                                                                        Total for 3 Bedroom(s)   : $      416,240.48

5925 MALEVILLE AVE          CARMICHAEL      95608 CA four  2  1120 Resident Tue May 20 00 00 00 2008 $206,010.00 $183.93 $232,791.30
                                                                                        Total for 4 Bedroom(s)   : $      206,010.00
                                                                                                  CARMICHAEL     : $      894,896.54

6236 LONGFORD DR Unit 1     CITRUS HEIGHTS  95621 CA two   1   795 Condo    Wed May 21 00 00 00 2008 $125,550.00 $157.92 $141,871.50
6272 LONGFORD DR Unit 1     CITRUS HEIGHTS  95621 CA two   1   795 Condo    Tue May 20 00 00 00 2008 $ 74,520.00 $ 93.73 $ 84,207.60
                                                                                        Total for 2 Bedroom(s)   : $      200,070.00

6118 STONEHAND AVE          CITRUS HEIGHTS  95621 CA three 2  1118 Resident Wed May 21 00 00 00 2008 $131,760.00 $117.85 $148,888.80
6716 TAREYTON WAY           CITRUS HEIGHTS  95621 CA three 2  1104 Resident Tue May 20 00 00 00 2008 $168,480.00 $152.60 $190,382.40
5448 MAIDSTONE WAY          CITRUS HEIGHTS  95621 CA three 2  1305 Resident Wed May 21 00 00 00 2008 $270,000.00 $206.89 $305,100.00
